Runs,Bat Avg,Strike Rate,Wickets,Economy,Dismissals,Selected,PerformanceScore,Role
13704.0,42.03,80.39,3.0,4.16,160.0,Yes,4135.868,Batter
12650.0,33.37,78.96,8.0,5.69,218.0,Yes,3818.497,Batter
6786.0,35.34,74.59,0.0,4.6,173.0,Yes,2057.326,Batter
6293.0,35.55,76.22,9.0,6.15,154.0,Yes,1911.4389999999996,Batter
10480.0,37.83,87.19,167.0,4.78,124.0,Yes,3201.926,All-Rounder
7534.0,34.55,81.9,158.0,4.66,0.0,Yes,2314.624,All-Rounder
6721.0,47.0,90.2,118.0,4.49,0.0,Yes,2066.891,All-Rounder
2434.0,24.09,86.61,173.0,4.38,0.0,Yes,786.502,Bowler
2025.0,13.68,72.42,400.0,4.18,0.0,Yes,704.302,Bowler
1786.0,13.84,87.67,266.0,4.87,0.0,Yes,608.815,Bowler
1858.0,24.12,60.26,157.0,4.27,0.0,Yes,605.2489999999999,Bowler
